Temperature,Weather_Conditions,Humidity,Disease
20.47084146201113,Mist,84.26318564833106,Apple___Apple_scab
21.807944231277354,Shower Rain,71.97437412928471,Apple___Apple_scab
15.290168024599936,Rain,88.21986324143793,Apple___Apple_scab
16.150028754440424,Mist,85.3000072462979,Apple___Apple_scab
21.91868905347681,Mist,84.1007922786094,Apple___Apple_scab
19.11436808833169,Mist,78.0402780823471,Apple___Apple_scab
20.764014501294223,Broken Clouds,76.02889922601449,Apple___Apple_scab
16.32270782479225,Mist,74.26506718564494,Apple___Apple_scab
19.761677369873887,Clear Sky,80.45551850220632,Apple___Apple_scab
20.313616601059127,Scattered Clouds,82.34195366968098,Apple___Apple_scab
19.821515442829956,Scattered Clouds,71.97962952280967,Apple___Apple_scab
18.78279783239204,Thunderstorm,80.6342361911623,Apple___Apple_scab
18.22840411592014,Mist,86.88747368974201,Apple___Apple_scab
21.93787043564084,Few Clouds,89.14625216555999,Apple___Apple_scab
21.670530546095264,Scattered Clouds,72.10403172437054,Apple___Apple_scab
18.223651081475516,Broken Clouds,87.5453657706043,Apple___Apple_scab
16.35235397044071,Clear Sky,87.38197416484492,Apple___Apple_scab
20.328975531031755,Rain,85.75911910873707,Apple___Apple_scab
19.772893703045305,Shower Rain,82.48649091937348,Apple___Apple_scab
19.416222866957238,Shower Rain,84.32192716034031,Apple___Apple_scab
21.44958071352606,Mist,76.73574862386681,Apple___Apple_scab
15.724873332993354,Rain,84.52620396316574,Apple___Apple_scab
21.476591325742998,Scattered Clouds,78.70692804002718,Apple___Apple_scab
20.81911676561327,Snow,71.83112767273911,Apple___Apple_scab
15.601509531974768,Clear Sky,78.05056954877459,Apple___Apple_scab
20.92924001578591,Scattered Clouds,72.80609754044075,Apple___Apple_scab
18.218215316689854,Thunderstorm,84.80003179790695,Apple___Apple_scab
21.620229888001433,Shower Rain,79.02406264876025,Apple___Apple_scab
16.00855348060413,Clear Sky,79.90008421708886,Apple___Apple_scab
16.278415090741362,Shower Rain,83.58114853462259,Apple___Apple_scab
16.245427621283245,Mist,88.4523433020037,Apple___Apple_scab
19.541532405332894,Snow,74.75704153613094,Apple___Apple_scab
15.667701130388801,Broken Clouds,87.19257059575892,Apple___Apple_scab
18.3534792914794,Shower Rain,78.88827241235583,Apple___Apple_scab
18.898760177724228,Shower Rain,86.04198131507003,Apple___Apple_scab
16.89967496735275,Clear Sky,77.27447105060689,Apple___Apple_scab
19.43687275376627,Mist,82.38689610232336,Apple___Apple_scab
18.425921095471903,Scattered Clouds,81.74374859616366,Apple___Apple_scab
16.91906984182452,Thunderstorm,76.97190204519768,Apple___Apple_scab
16.83476145772229,Rain,76.89522957003632,Apple___Apple_scab
16.056128143020956,Clear Sky,76.19688667975355,Apple___Apple_scab
20.133046411201686,Broken Clouds,88.58766432087083,Apple___Apple_scab
20.782328167625156,Snow,89.77998896343173,Apple___Apple_scab
20.083138008036602,Clear Sky,84.80432314655847,Apple___Apple_scab
20.049004282472932,Scattered Clouds,74.84813405733055,Apple___Apple_scab
20.130917434885422,Scattered Clouds,72.57252117103246,Apple___Apple_scab
20.915137226099596,Mist,71.33879937206453,Apple___Apple_scab
20.942050780461464,Few Clouds,85.80802576178925,Apple___Apple_scab
16.487559521757852,Snow,78.15483392977694,Apple___Apple_scab
18.228736098032638,Scattered Clouds,76.26436557396309,Apple___Apple_scab
21.145875536530788,Snow,65.91992940665858,Apple___Black_rot
22.1237314540625,Snow,79.90050144275472,Apple___Black_rot
21.781425390589373,Broken Clouds,61.33652128865973,Apple___Black_rot
24.725946325979045,Clear Sky,69.57945217211144,Apple___Black_rot
20.36634039379512,Thunderstorm,78.16196253690703,Apple___Black_rot
20.70081631440784,Thunderstorm,79.56160318720185,Apple___Black_rot
23.104850754424085,Rain,75.11917621583301,Apple___Black_rot
21.864622950705492,Clear Sky,76.90682068700492,Apple___Black_rot
20.28652548524273,Mist,65.17629944541899,Apple___Black_rot
23.15723275138259,Snow,62.07324670088059,Apple___Black_rot
20.30775129135284,Mist,63.785235786713905,Apple___Black_rot
23.303327436714675,Snow,60.11082958363898,Apple___Black_rot
22.69022492637697,Rain,64.58238911832939,Apple___Black_rot
23.523143915779915,Broken Clouds,73.62142517290403,Apple___Black_rot
23.371598071288613,Thunderstorm,70.58054363374235,Apple___Black_rot
20.944154463165905,Scattered Clouds,68.67392894532243,Apple___Black_rot
20.688518444156017,Mist,79.21069897037913,Apple___Black_rot
24.25396306428036,Clear Sky,64.16377313989481,Apple___Black_rot
22.510496790228057,Mist,61.44259541387218,Apple___Black_rot
24.63040673335202,Few Clouds,77.70437083989539,Apple___Black_rot
24.854902673510743,Thunderstorm,72.00117684535228,Apple___Black_rot
24.33761463441252,Mist,63.0138688973666,Apple___Black_rot
23.95816252756107,Snow,63.249875778581114,Apple___Black_rot
24.768429374820126,Scattered Clouds,72.36502923433468,Apple___Black_rot
21.36530525943287,Shower Rain,70.78959199641177,Apple___Black_rot
20.579222092946328,Mist,64.08281727121283,Apple___Black_rot
21.619523019853116,Broken Clouds,77.0330711414873,Apple___Black_rot
20.29916483571782,Broken Clouds,60.47690176177771,Apple___Black_rot
24.113544994950068,Rain,66.63795306897173,Apple___Black_rot
22.62478690738904,Clear Sky,79.49796610760644,Apple___Black_rot
22.485170729523187,Few Clouds,60.417402956446494,Apple___Black_rot
21.12768021122061,Shower Rain,78.61397872628908,Apple___Black_rot
22.035834241275985,Snow,65.9438111913914,Apple___Black_rot
24.909820467380662,Shower Rain,68.19382491063675,Apple___Black_rot
23.33729221324708,Few Clouds,64.4081560318738,Apple___Black_rot
22.95645090187489,Snow,68.92912088401069,Apple___Black_rot
24.494048020831578,Scattered Clouds,63.82154251221666,Apple___Black_rot
22.071570799920984,Scattered Clouds,62.2230465957464,Apple___Black_rot
20.20446814023539,Thunderstorm,68.68747376226831,Apple___Black_rot
23.206422845700672,Clear Sky,70.17518897586662,Apple___Black_rot
23.209145272774737,Mist,71.42150640624055,Apple___Black_rot
23.334263752464636,Snow,77.25283625005918,Apple___Black_rot
20.742546120252893,Few Clouds,69.4014674579211,Apple___Black_rot
23.901898680346186,Rain,78.35196867432174,Apple___Black_rot
20.040760130244376,Broken Clouds,72.77748466016081,Apple___Black_rot
23.431363974968466,Mist,67.55413557507774,Apple___Black_rot
23.74334679888658,Few Clouds,74.3092468779642,Apple___Black_rot
22.82892877223717,Broken Clouds,64.88434245772348,Apple___Black_rot
21.040885732232375,Rain,76.84581751415628,Apple___Black_rot
22.027165411989273,Scattered Clouds,79.12141402832884,Apple___Black_rot
20.074076815828356,Shower Rain,81.70445505563772,Apple___Cedar_apple_rust
22.25882715861177,Clear Sky,81.63584042813306,Apple___Cedar_apple_rust
20.574364505863855,Broken Clouds,82.5679813743966,Apple___Cedar_apple_rust
23.122774766436073,Thunderstorm,87.30343827129367,Apple___Cedar_apple_rust
23.525193169025364,Clear Sky,88.47105637819317,Apple___Cedar_apple_rust
21.456576004758457,Thunderstorm,86.56187247856847,Apple___Cedar_apple_rust
20.46249797766143,Mist,85.19842620886817,Apple___Cedar_apple_rust
22.568782006011375,Rain,83.35758337811959,Apple___Cedar_apple_rust
18.414191324702294,Snow,84.32220886767523,Apple___Cedar_apple_rust
18.030199899847343,Few Clouds,84.44821015324118,Apple___Cedar_apple_rust
21.565919116298787,Shower Rain,82.92685210005436,Apple___Cedar_apple_rust
24.530068580291104,Thunderstorm,86.16431453778988,Apple___Cedar_apple_rust
18.931679525627413,Shower Rain,83.09080399943083,Apple___Cedar_apple_rust
21.16072093456575,Mist,81.30143288288178,Apple___Cedar_apple_rust
22.462285559193706,Few Clouds,86.66768576283407,Apple___Cedar_apple_rust
